Latency		PacketCount		Average		Min		Max		75th%		80th%		85th%		90th%		95th%		99th%		999th%		9999th%
8:52
8:53
8:54
8:55
8:56
8:57
8:58
8:59
9:0
9:1
9:2
9:3
9:4
9:5
9:6
9:7
9:8
9:9
9:10
9:11
9:12
9:13
9:14
9:15
     MDDELAY     3955811         765         380      795482           1000           1000           1000           1000           1500           2000           6000         100000
  TOTALDELAY     1671609         467         238      866570           1000           1000           1000           1000           1000           1500           2500          10500
9:16
     MDDELAY    12786066        8627         371    27686144           1000           1000           1000           1500           1500           2500          13000         100000
  TOTALDELAY     5360288         501         259      183168           1000           1000           1000           1000           1000           1500           2500          10500
DELAYWITHORDER       46371        1357         496       59844           2000           2000           2000           2000           2500           3500           9000          12000
9:17
     MDDELAY    12149338         763         379      152793           1000           1000           1000           1500           1500           2000           6500          13500
  TOTALDELAY     5320165         498         258       20745           1000           1000           1000           1000           1000           1500           2500          10000
DELAYWITHORDER       45752        1321         624       13622           1500           2000           2000           2000           2500           3500           8000          11500
9:18
     MDDELAY    13800274         759         335      143346           1000           1000           1000           1500           1500           2500           5500          11000
  TOTALDELAY     6152916         489         257      104165           1000           1000           1000           1000           1000           1500           2500           9500
DELAYWITHORDER       48725        1303         631       12115           1500           2000           2000           2000           2500           3500           8500          11500
9:19
     MDDELAY    16625932         763         368       94650           1000           1000           1000           1500           1500           2000           5500          10500
  TOTALDELAY     7557602         479         259       71086           1000           1000           1000           1000           1000           1500           2000           9000
DELAYWITHORDER       56549        1274         650       10946           1500           1500           2000           2000           2000           3000           7500          10500
9:20
     MDDELAY    15507888         768         389      130919           1000           1000           1000           1500           1500           2000           5000          10500
  TOTALDELAY     7120493         478         259       13665           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       50942        1253         626       12601           1500           1500           2000           2000           2000           3000           8000          10500
9:21
     MDDELAY    15636139         756         368       79354           1000           1000           1000           1500           1500           2000           5000          10000
  TOTALDELAY     7247924         473         256       16105           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       53420        1246         496       11359           1500           1500           2000           2000           2000           3000           7500          11000
9:22
     MDDELAY    14865540         769         373       72533           1000           1000           1000           1500           1500           2000           5000          10000
  TOTALDELAY     6944869         476         258       13852           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       45440        1247         643       12586           1500           1500           2000           2000           2000           3500           7500          11000
9:23
     MDDELAY    14974318         778         403      140040           1000           1000           1000           1500           1500           2000           5000          11000
  TOTALDELAY     6992408         477         253       48519           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       50750        1256         640       12359           1500           1500           2000           2000           2000           3000           7500          11000
9:24
     MDDELAY    14188860         759         393       59139           1000           1000           1000           1500           1500           2000           5000          10000
  TOTALDELAY     6655980         478         258       22503           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       48258        1275         668       12009           1500           1500           2000           2000           2000           3500           8000          11000
9:25
     MDDELAY    14430968         767         389       88763           1000           1000           1000           1500           1500           2000           5500          10500
  TOTALDELAY     6636393         479         257       16173           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       54982        1254         648       11762           1500           1500           2000           2000           2000           3000           7500          10500
9:26
     MDDELAY    13473992        6321         390    27225459           1000           1000           1000           1500           1500           2000           7500         100000
  TOTALDELAY     6191723         475         258       30655           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       48566        1241         643       12925           1500           1500           2000           2000           2000           3000           8000          11500
9:27
     MDDELAY    13210212         735         369       31234           1000           1000           1000           1500           1500           2000           4500          10000
  TOTALDELAY     6053522         476         254       16565           1000           1000           1000           1000           1000           1500           2000          10000
DELAYWITHORDER       36543        1284         559       14384           1500           2000           2000           2000           2000           3500           8000          11500
9:28
     MDDELAY    12875624         767         407       54842           1000           1000           1000           1500           1500           2000           4500          10000
  TOTALDELAY     5931010         471         256       17271           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       32051        1270         655       14131           1500           1500           2000           2000           2000           3000           7500          11500
9:29
     MDDELAY    12931406         738         361      175482           1000           1000           1000           1500           1500           2000           5000          10000
  TOTALDELAY     6029616         470         258       20553           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       38131        1262         634       53112           1500           1500           2000           2000           2000           3000           8000          11500
9:30
     MDDELAY    12366804         761         406       55588           1000           1000           1000           1500           1500           2000           4500          10000
  TOTALDELAY     5669632         471         258       19150           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       34271        1275         623       11018           1500           2000           2000           2000           2000           3000           7000          11000
9:31
     MDDELAY    13033436         749         373       64434           1000           1000           1000           1500           1500           2000           4500          10000
  TOTALDELAY     5995188         475         259       31182           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       38843        1270         454       13660           1500           1500           2000           2000           2000           3000           7000          11000
9:32
     MDDELAY    11694326         754         382       51409           1000           1000           1000           1500           1500           2000           4500           9500
  TOTALDELAY     5305548         479         259       15879           1000           1000           1000           1000           1000           1500           2000           9500
DELAYWITHORDER       32464        1281         654       14977           1500           2000           2000           2000           2000           3500           7000          11500
9:33
     MDDELAY    12083838         756         387      140274           1000           1000           1000           1500           1500           2000           5000          10000
  TOTALDELAY     5530558         476         252       23879           1000           1000           1000           1000           1000           1500           2000          10000
DELAYWITHORDER       29373        1299         586       13490           1500           2000           2000           2000           2500           3500           8000          11500
9:34
     MDDELAY    15296585         766         346      166395           1000           1000           1000           1500           1500           2500           5500          11500
  TOTALDELAY     7178045         490         259      172922           1000           1000           1000           1000           1000           1500           2500          10000
DELAYWITHORDER       49406        1320         625       14844           1500           2000           2000           2000           2500           3500           7500          11000
9:35
     MDDELAY    12493126         749         327      186320           1000           1000           1000           1500           1500           2000           5500          11000
  TOTALDELAY     5704848         486         260       53966           1000           1000           1000           1000           1000           1500           2500          10000
DELAYWITHORDER       32321        1310         530       11770           1500           2000           2000           2000           2500           3500           8000          10500
