,stats_193.12_Average,stats_193.14_Average,Difference,Percent Change
MDDELAY,25738.760869565216,26649.369565217392,910.6086956521758,3.537888635225345
TOTALDELAY,386.8809523809524,493.73809523809524,106.85714285714283,27.620161240691726
DELAYWITHORDER,6748.53125,83121.66666666667,76373.13541666667,1131.700107585138
