Quantile Number,Start Point,End Point,Mean spread (%)
DELTA Range,0.35,0.5,
Data Points,155249.0,,
Valid Files,3.0,,
1,0.0812,0.1732,0.2286
2,0.1732,0.1743,0.2207
3,0.1743,0.1751,0.2203
4,0.1751,0.1759,0.2203
5,0.1759,0.1769,0.2195
6,0.1769,0.1780,0.2204
7,0.1780,0.1792,0.2251
8,0.1792,0.1807,0.2317
9,0.1807,0.1833,0.2438
10,0.1833,0.3519,0.2699
