Quantile Number,Start Point,End Point,Mean spread (%)
1,0.0200,0.0300,25.3968
2,0.0300,0.0600,18.5962
3,0.0600,0.1000,13.0814
4,0.1500,0.2000,8.0515
5,0.2000,0.3000,6.1987
6,0.3000,0.4000,4.2974
7,0.4500,0.5000,2.6257
8,0.5500,0.6000,1.7276
9,0.6000,0.7000,1.2625
10,0.7000,0.8000,0.8209
