Quantile Number,Start Point,End Point,Mean spread (%)
1,0.0204,0.0387,1.6146
2,0.0387,0.0793,0.8406
3,0.0793,0.1529,0.4963
4,0.1529,0.2740,0.3213
5,0.2740,0.4283,0.2432
6,0.4283,0.6004,0.2142
7,0.6004,0.7364,0.2340
8,0.7364,0.8462,0.2787
9,0.8462,0.9120,0.3445
10,0.9120,0.9999,0.4593
